From	To	Species	Gene Name
ENSBTAG00000044097	KLF7	Bos taurus	KLF transcription factor 7(KLF7)
ENSBTAG00000044099	ZSWIM7	Bos taurus	zinc finger SWIM-type containing 7(ZSWIM7)
ENSBTAG00000044091	PTK6	Bos taurus	protein tyrosine kinase 6(PTK6)
ENSBTAG00000044092	IQCK	Bos taurus	IQ motif containing K(IQCK)
ENSBTAG00000044082	MARCHF1	Bos taurus	membrane associated ring-CH-type finger 1(MARCHF1)
ENSBTAG00000044083	LIMK1	Bos taurus	LIM domain kinase 1(LIMK1)
ENSBTAG00000044080	CPA6	Bos taurus	carboxypeptidase A6(CPA6)
ENSBTAG00000032097	FBXO21	Bos taurus	F-box protein 21(FBXO21)
ENSBTAG00000032093	SPINK4	Bos taurus	serine peptidase inhibitor Kazal type 4(SPINK4)
ENSBTAG00000032092	CDH11	Bos taurus	cadherin 11(CDH11)
ENSBTAG00000044079	SMIM4	Bos taurus	small integral membrane protein 4(SMIM4)
ENSBTAG00000044075	SRPRB	Bos taurus	SRP receptor subunit beta(SRPRB)
ENSBTAG00000044077	POLR3G	Bos taurus	RNA polymerase III subunit G(POLR3G)
ENSBTAG00000044078	TESC	Bos taurus	tescalcin(TESC)
ENSBTAG00000044071	HRH2	Bos taurus	histamine receptor H2(HRH2)
ENSBTAG00000044073	CD248	Bos taurus	CD248 molecule(CD248)
ENSBTAG00000044074	MLLT10	Bos taurus	MLLT10 histone lysine methyltransferase DOT1L cofactor(MLLT10)
ENSBTAG00000044070	SNX30	Bos taurus	sorting nexin family member 30(SNX30)
ENSBTAG00000032087	ATXN2L	Bos taurus	ataxin 2 like(ATXN2L)
ENSBTAG00000032084	GPR183	Bos taurus	G protein-coupled receptor 183(GPR183)
ENSBTAG00000032083	DHX33	Bos taurus	DEAH-box helicase 33(DHX33)
ENSBTAG00000044068	VWC2	Bos taurus	von Willebrand factor C domain containing 2(VWC2)
ENSBTAG00000020099	STMN2	Bos taurus	stathmin 2(STMN2)
ENSBTAG00000044064	RNF144A	Bos taurus	ring finger protein 144A(RNF144A)
ENSBTAG00000020097	PERP	Bos taurus	p53 apoptosis effector related to PMP22(PERP)
ENSBTAG00000045396	LOC112441706	Bos taurus	U6 spliceosomal RNA(LOC112441706)
ENSBTAG00000044065	PITPNC1	Bos taurus	phosphatidylinositol transfer protein cytoplasmic 1(PITPNC1)
ENSBTAG00000020095	MS4A3	Bos taurus	membrane spanning 4-domains A3(MS4A3)
ENSBTAG00000045397	LOC112447928	Bos taurus	small nucleolar RNA SNORA40(LOC112447928)
ENSBTAG00000020096	MS4A2	Bos taurus	membrane spanning 4-domains A2(MS4A2)
ENSBTAG00000044067	PLAC8L1	Bos taurus	PLAC8 like 1(PLAC8L1)
ENSBTAG00000020093	CUL4A	Bos taurus	cullin 4A(CUL4A)
ENSBTAG00000044061	FAXC	Bos taurus	failed axon connections homolog, metaxin like GST domain containing(FAXC)
ENSBTAG00000044062	RBMS3	Bos taurus	RNA binding motif single stranded interacting protein 3(RBMS3)
ENSBTAG00000044063	B4GALT6	Bos taurus	beta-1,4-galactosyltransferase 6(B4GALT6)
ENSBTAG00000020090	EPHX3	Bos taurus	epoxide hydrolase 3(EPHX3)
ENSBTAG00000032089	CDC42EP2	Bos taurus	CDC42 effector protein 2(CDC42EP2)
ENSBTAG00000032074	LOC112447196	Bos taurus	U1 spliceosomal RNA(LOC112447196)
ENSBTAG00000032077	KCND2	Bos taurus	potassium voltage-gated channel subfamily D member 2(KCND2)
ENSBTAG00000032071	SYCP1	Bos taurus	synaptonemal complex protein 1(SYCP1)
ENSBTAG00000045389	LOC112446485	Bos taurus	U6 spliceosomal RNA(LOC112446485)
ENSBTAG00000044058	MFSD8	Bos taurus	major facilitator superfamily domain containing 8(MFSD8)
ENSBTAG00000044053	SLC17A5	Bos taurus	solute carrier family 17 member 5(SLC17A5)
ENSBTAG00000045384	LOC112446849	Bos taurus	U6 spliceosomal RNA(LOC112446849)
ENSBTAG00000045385	LOC112444562	Bos taurus	small Cajal body-specific RNA 11(LOC112444562)
ENSBTAG00000044055	THSD7B	Bos taurus	thrombospondin type 1 domain containing 7B(THSD7B)
ENSBTAG00000045386	MIR320B	Bos taurus	microRNA mir-320b(MIR320B)
ENSBTAG00000044056	C19H17orf98	Bos taurus	chromosome 19 C17orf98 homolog(C19H17orf98)
ENSBTAG00000045380	MIR2473	Bos taurus	microRNA mir-2473(MIR2473)
ENSBTAG00000044050	XKR4	Bos taurus	XK related 4(XKR4)
ENSBTAG00000045382	LOC112446848	Bos taurus	U6 spliceosomal RNA(LOC112446848)
ENSBTAG00000045383	LOC112443285	Bos taurus	small nucleolar RNA SNORA70(LOC112443285)
ENSBTAG00000032079	SYT9	Bos taurus	synaptotagmin 9(SYT9)
ENSBTAG00000033395	C25H16orf91	Bos taurus	chromosome 25 C16orf91 homolog(C25H16orf91)
ENSBTAG00000033397	SIRPD	Bos taurus	signal-regulatory protein delta(SIRPD)
ENSBTAG00000033396	CFAP95	Bos taurus	cilia and flagella associated protein 95(CFAP95)
ENSBTAG00000019090	PLEKHH3	Bos taurus	pleckstrin homology, MyTH4 and FERM domain containing H3(PLEKHH3)
ENSBTAG00000019091	RNPC3	Bos taurus	RNA binding region (RNP1, RRM) containing 3(RNPC3)
ENSBTAG00000019092	FNDC8	Bos taurus	fibronectin type III domain containing 8(FNDC8)
ENSBTAG00000020079	MAP3K4	Bos taurus	mitogen-activated protein kinase kinase kinase 4(MAP3K4)
ENSBTAG00000045377	LOC112447914	Bos taurus	small nucleolar RNA SNORA70(LOC112447914)
ENSBTAG00000044046	SGCD	Bos taurus	sarcoglycan delta(SGCD)
ENSBTAG00000044047	SKIDA1	Bos taurus	SKI/DACH domain containing 1(SKIDA1)
ENSBTAG00000044048	LMBR1L	Bos taurus	limb development membrane protein 1 like(LMBR1L)
ENSBTAG00000045379	LOC112444221	Bos taurus	U1 spliceosomal RNA(LOC112444221)
ENSBTAG00000020078	KRT39	Bos taurus	keratin 39(KRT39)
ENSBTAG00000044049	ABHD12B	Bos taurus	abhydrolase domain containing 12B(ABHD12B)
ENSBTAG00000019086	TELO2	Bos taurus	telomere maintenance 2(TELO2)
ENSBTAG00000045373	MIR2320	Bos taurus	microRNA mir-2320(MIR2320)
ENSBTAG00000044043	FGF20	Bos taurus	fibroblast growth factor 20(FGF20)
ENSBTAG00000020076	CATHL5	Bos taurus	cathelicidin 5(CATHL5)
ENSBTAG00000020073	NCEH1	Bos taurus	neutral cholesterol ester hydrolase 1(NCEH1)
ENSBTAG00000044044	CLOCK	Bos taurus	clock circadian regulator(CLOCK)
ENSBTAG00000045375	MIR2352	Bos taurus	microRNA mir-2352(MIR2352)
ENSBTAG00000020074	NKPD1	Bos taurus	NTPase KAP family P-loop domain containing 1(NKPD1)
ENSBTAG00000045376	LOC112443283	Bos taurus	small nucleolar RNA SNORD116(LOC112443283)
ENSBTAG00000019082	RAD51D	Bos taurus	RAD51 paralog D(RAD51D)
ENSBTAG00000045370	LOC112442448	Bos taurus	U1 spliceosomal RNA(LOC112442448)
ENSBTAG00000044040	PDAP1	Bos taurus	PDGFA associated protein 1(PDAP1)
ENSBTAG00000019084	INHBC	Bos taurus	inhibin subunit beta C(INHBC)
ENSBTAG00000020070	ABCC3	Bos taurus	ATP binding cassette subfamily C member 3(ABCC3)
ENSBTAG00000019085	SRP54	Bos taurus	signal recognition particle 54(SRP54)
ENSBTAG00000032068	PLA2G4F	Bos taurus	phospholipase A2 group IVF(PLA2G4F)
ENSBTAG00000033398	HKDC1	Bos taurus	hexokinase domain containing 1(HKDC1)
ENSBTAG00000033384	ACRV1	Bos taurus	acrosomal vesicle protein 1(ACRV1)
ENSBTAG00000033386	TEX26	Bos taurus	testis expressed 26(TEX26)
ENSBTAG00000032055	VPS39	Bos taurus	VPS39 subunit of HOPS complex(VPS39)
ENSBTAG00000032051	SULT1C4	Bos taurus	sulfotransferase family, cytosolic, 1C, member 4(SULT1C4)
ENSBTAG00000044035	GPRIN1	Bos taurus	G protein regulated inducer of neurite outgrowth 1(GPRIN1)
ENSBTAG00000045367	LOC112442421	Bos taurus	small nucleolar RNA SNORA70(LOC112442421)
ENSBTAG00000044037	DACH2	Bos taurus	dachshund family transcription factor 2(DACH2)
ENSBTAG00000045368	LOC112443639	Bos taurus	small nucleolar RNA SNORA70(LOC112443639)
ENSBTAG00000020089	USP32	Bos taurus	ubiquitin specific peptidase 32(USP32)
ENSBTAG00000045369	MIR2319A	Bos taurus	microRNA mir-2319a(MIR2319A)
ENSBTAG00000044038	TEN1	Bos taurus	TEN1 subunit of CST complex(TEN1)
ENSBTAG00000046699	STAT4	Bos taurus	signal transducer and activator of transcription 4(STAT4)
ENSBTAG00000019097	CNTNAP1	Bos taurus	contactin associated protein 1(CNTNAP1)
ENSBTAG00000020087	CAMK2A	Bos taurus	calcium/calmodulin dependent protein kinase II alpha(CAMK2A)
ENSBTAG00000044032	KDM2A	Bos taurus	lysine demethylase 2A(KDM2A)
ENSBTAG00000045363	LOC112443885	Bos taurus	U6 spliceosomal RNA(LOC112443885)
ENSBTAG00000044033	EDIL3	Bos taurus	EGF like repeats and discoidin domains 3(EDIL3)
ENSBTAG00000046696	LOC539883	Bos taurus	pituitary tumor-transforming 1 pseudogene(LOC539883)
ENSBTAG00000020084	LONRF1	Bos taurus	LON peptidase N-terminal domain and ring finger 1(LONRF1)
ENSBTAG00000019099	SLC25A37	Bos taurus	solute carrier family 25 member 37(SLC25A37)
ENSBTAG00000045364	LOC112443907	Bos taurus	U1 spliceosomal RNA(LOC112443907)
ENSBTAG00000020082	GARIN5A	Bos taurus	golgi associated RAB2 interactor 5A(GARIN5A)
ENSBTAG00000019093	AMY2B	Bos taurus	amylase, alpha 2B (pancreatic)(AMY2B)
ENSBTAG00000046690	LOC107133338	Bos taurus	ras-related protein Rab-27A pseudogene(LOC107133338)
ENSBTAG00000019094	NLE1	Bos taurus	notchless homolog 1(NLE1)
ENSBTAG00000019095	CCR10	Bos taurus	C-C motif chemokine receptor 10(CCR10)
ENSBTAG00000046692	MIR3660	Bos taurus	microRNA mir-3660(MIR3660)
ENSBTAG00000020080	MYBPC2	Bos taurus	myosin binding protein C2(MYBPC2)
ENSBTAG00000045360	LOC112448617	Bos taurus	small nucleolar RNA SNORA26(LOC112448617)
ENSBTAG00000019096	UQCRC1	Bos taurus	ubiquinol-cytochrome c reductase core protein 1(UQCRC1)
ENSBTAG00000045361	LOC112441939	Bos taurus	U6 spliceosomal RNA(LOC112441939)
ENSBTAG00000032059	TGM5	Bos taurus	transglutaminase 5(TGM5)
ENSBTAG00000033389	LOC787289	Bos taurus	heterogeneous nuclear ribonucleoprotein A1 pseudogene(LOC787289)
ENSBTAG00000033375	PATE2	Bos taurus	prostate and testis expressed 2(PATE2)
ENSBTAG00000007084	MAP3K14	Bos taurus	mitogen-activated protein kinase kinase kinase 14(MAP3K14)
ENSBTAG00000044029	AVEN	Bos taurus	apoptosis and caspase activation inhibitor(AVEN)
ENSBTAG00000020059	GEN1	Bos taurus	GEN1 Holliday junction 5' flap endonuclease(GEN1)
ENSBTAG00000019070	PMP22	Bos taurus	peripheral myelin protein 22(PMP22)
ENSBTAG00000007089	FRG1	Bos taurus	FSHD region gene 1(FRG1)
ENSBTAG00000044025	IL1RAPL2	Bos taurus	interleukin 1 receptor accessory protein like 2(IL1RAPL2)
ENSBTAG00000020055	CEP44	Bos taurus	centrosomal protein 44(CEP44)
ENSBTAG00000021386	ANGPTL3	Bos taurus	angiopoietin like 3(ANGPTL3)
ENSBTAG00000044027	ITGBL1	Bos taurus	integrin subunit beta like 1(ITGBL1)
ENSBTAG00000020056	COL12A1	Bos taurus	collagen type XII alpha 1 chain(COL12A1)
ENSBTAG00000020053	ZEB1	Bos taurus	zinc finger E-box binding homeobox 1(ZEB1)
ENSBTAG00000020054	TNFRSF21	Bos taurus	TNF receptor superfamily member 21(TNFRSF21)
ENSBTAG00000044021	TOGARAM2	Bos taurus	TOG array regulator of axonemal microtubules 2(TOGARAM2)
ENSBTAG00000019065	EEPD1	Bos taurus	endonuclease/exonuclease/phosphatase family domain containing 1(EEPD1)
ENSBTAG00000044022	KIAA1671	Bos taurus	KIAA1671(KIAA1671)
ENSBTAG00000019066	FAM167A	Bos taurus	family with sequence similarity 167 member A(FAM167A)
ENSBTAG00000046685	LOC112443710	Bos taurus	U6 spliceosomal RNA(LOC112443710)
ENSBTAG00000020051	C25H16orf82	Bos taurus	chromosome 25 C16orf82 homolog(C25H16orf82)
ENSBTAG00000046684	FOXN3	Bos taurus	forkhead box N3(FOXN3)
ENSBTAG00000044023	CDK6	Bos taurus	cyclin dependent kinase 6(CDK6)
ENSBTAG00000045354	LOC112448333	Bos taurus	small nucleolar RNA ACA64(LOC112448333)
ENSBTAG00000019067	TMC8	Bos taurus	transmembrane channel like 8(TMC8)
ENSBTAG00000019060	CLDN11	Bos taurus	claudin 11(CLDN11)
ENSBTAG00000019061	ELF4	Bos taurus	E74 like ETS transcription factor 4(ELF4)
ENSBTAG00000020050	MLEC	Bos taurus	malectin(MLEC)
ENSBTAG00000021381	DAAM2	Bos taurus	dishevelled associated activator of morphogenesis 2(DAAM2)
ENSBTAG00000019062	FCHSD2	Bos taurus	FCH and double SH3 domains 2(FCHSD2)
ENSBTAG00000032049	TAS2R16	Bos taurus	taste 2 receptor member 16(TAS2R16)
ENSBTAG00000007090	MYH2	Bos taurus	myosin heavy chain 2(MYH2)
ENSBTAG00000019069	SYNGR2	Bos taurus	synaptogyrin 2(SYNGR2)
ENSBTAG00000032047	LOC100296211	Bos taurus	uncharacterized LOC100296211(LOC100296211)
ENSBTAG00000032031	ZBTB12	Bos taurus	zinc finger and BTB domain containing 12(ZBTB12)
ENSBTAG00000007097	THTPA	Bos taurus	thiamine triphosphatase(THTPA)
ENSBTAG00000007096	GAS8	Bos taurus	growth arrest specific 8(GAS8)
ENSBTAG00000007099	AP1G2	Bos taurus	adaptor related protein complex 1 subunit gamma 2(AP1G2)
ENSBTAG00000034693	SYT1	Bos taurus	synaptotagmin 1(SYT1)
ENSBTAG00000007093	DDX11	Bos taurus	DEAD/H-box helicase 11(DDX11)
ENSBTAG00000007092	GRPR	Bos taurus	gastrin releasing peptide receptor(GRPR)
ENSBTAG00000034691	GFUS	Bos taurus	GDP-L-fucose synthase(GFUS)
ENSBTAG00000007094	MINAR1	Bos taurus	membrane integral NOTCH2 associated receptor 1(MINAR1)
ENSBTAG00000044017	MSRB3	Bos taurus	methionine sulfoxide reductase B3(MSRB3)
ENSBTAG00000044018	PRR36	Bos taurus	proline rich 36(PRR36)
ENSBTAG00000019080	PTH	Bos taurus	parathyroid hormone(PTH)
ENSBTAG00000044019	KAT2A	Bos taurus	lysine acetyltransferase 2A(KAT2A)
ENSBTAG00000045344	LOC112445237	Bos taurus	U6 spliceosomal RNA(LOC112445237)
ENSBTAG00000021397	NKX2-3	Bos taurus	NK2 homeobox 3(NKX2-3)
ENSBTAG00000020066	ZW10	Bos taurus	zw10 kinetochore protein(ZW10)
ENSBTAG00000044015	RBM12	Bos taurus	RNA binding motif protein 12(RBM12)
ENSBTAG00000020067	LLGL2	Bos taurus	LLGL scribble cell polarity complex component 2(LLGL2)
ENSBTAG00000021398	MTRES1	Bos taurus	mitochondrial transcription rescue factor 1(MTRES1)
ENSBTAG00000046677	RTN4R	Bos taurus	reticulon 4 receptor(RTN4R)
ENSBTAG00000045347	LOC112443638	Bos taurus	small nucleolar RNA SNORA70(LOC112443638)
ENSBTAG00000046672	ZDHHC18	Bos taurus	zinc finger DHHC-type palmitoyltransferase 18(ZDHHC18)
ENSBTAG00000019075	METAP1D	Bos taurus	methionyl aminopeptidase type 1D, mitochondrial(METAP1D)
ENSBTAG00000045340	LOC112445236	Bos taurus	U6 spliceosomal RNA(LOC112445236)
ENSBTAG00000021395	PSME1	Bos taurus	proteasome activator subunit 1(PSME1)
ENSBTAG00000019076	PAK6	Bos taurus	p21 (RAC1) activated kinase 6(PAK6)
ENSBTAG00000046671	WFS1	Bos taurus	wolframin ER transmembrane glycoprotein(WFS1)
ENSBTAG00000045341	LOC112446090	Bos taurus	U6 spliceosomal RNA(LOC112446090)
ENSBTAG00000021396	HEG1	Bos taurus	heart development protein with EGF like domains 1(HEG1)
ENSBTAG00000044010	EMB	Bos taurus	embigin(EMB)
ENSBTAG00000021393	FLRT2	Bos taurus	fibronectin leucine rich transmembrane protein 2(FLRT2)
ENSBTAG00000019077	DAD1	Bos taurus	defender against cell death 1(DAD1)
ENSBTAG00000020062	TMC4	Bos taurus	transmembrane channel like 4(TMC4)
ENSBTAG00000044012	TMEM196	Bos taurus	transmembrane protein 196(TMEM196)
ENSBTAG00000019078	UCN2	Bos taurus	urocortin 2(UCN2)
ENSBTAG00000021394	FITM1	Bos taurus	fat storage inducing transmembrane protein 1(FITM1)
ENSBTAG00000019071	COMMD10	Bos taurus	COMM domain containing 10(COMMD10)
ENSBTAG00000020060	TXNIP	Bos taurus	thioredoxin interacting protein(TXNIP)
ENSBTAG00000019072	PSD4	Bos taurus	pleckstrin and Sec7 domain containing 4(PSD4)
ENSBTAG00000020061	KCNJ12	Bos taurus	potassium inwardly rectifying channel subfamily J member 12(KCNJ12)
ENSBTAG00000021392	DCAF11	Bos taurus	DDB1 and CUL4 associated factor 11(DCAF11)
ENSBTAG00000046670	MLX	Bos taurus	MAX dimerization protein MLX(MLX)
ENSBTAG00000019073	TRAF7	Bos taurus	TNF receptor associated factor 7(TRAF7)
ENSBTAG00000021390	TMEM89	Bos taurus	transmembrane protein 89(TMEM89)
ENSBTAG00000019079	PLCB2	Bos taurus	phospholipase C beta 2(PLCB2)
ENSBTAG00000032034	LOC784058	Bos taurus	dynein light chain 1, cytoplasmic(LOC784058)
ENSBTAG00000033365	METTL24	Bos taurus	methyltransferase like 24(METTL24)
ENSBTAG00000033367	DDO	Bos taurus	D-aspartate oxidase(DDO)
ENSBTAG00000033351	PACRGL	Bos taurus	parkin coregulated like(PACRGL)
ENSBTAG00000008395	APBA3	Bos taurus	amyloid beta precursor protein binding family A member 3(APBA3)
ENSBTAG00000007063	GPHA2	Bos taurus	glycoprotein hormone subunit alpha 2(GPHA2)
ENSBTAG00000008394	MYL3	Bos taurus	myosin light chain 3(MYL3)
ENSBTAG00000034681	CA10	Bos taurus	carbonic anhydrase 10(CA10)
ENSBTAG00000008397	ZNF555	Bos taurus	zinc finger protein 555(ZNF555)
ENSBTAG00000007066	TMTC4	Bos taurus	transmembrane O-mannosyltransferase targeting cadherins 4(TMTC4)
ENSBTAG00000033352	DMRT1	Bos taurus	doublesex and mab-3 related transcription factor 1(DMRT1)
ENSBTAG00000032021	RALB	Bos taurus	RAS like proto-oncogene B(RALB)
ENSBTAG00000008396	MRPL54	Bos taurus	mitochondrial ribosomal protein L54(MRPL54)
ENSBTAG00000007065	TRAPPC6A	Bos taurus	trafficking protein particle complex subunit 6A(TRAPPC6A)
ENSBTAG00000008390	DNAJC10	Bos taurus	DnaJ heat shock protein family (Hsp40) member C10(DNAJC10)
ENSBTAG00000034680	FAM131C	Bos taurus	family with sequence similarity 131 member C(FAM131C)
ENSBTAG00000007061	PPP2R5B	Bos taurus	protein phosphatase 2 regulatory subunit B'beta(PPP2R5B)
ENSBTAG00000044006	GINS2	Bos taurus	GINS complex subunit 2(GINS2)
ENSBTAG00000045337	MIR2376	Bos taurus	microRNA mir-2376(MIR2376)
ENSBTAG00000044007	KLF12	Bos taurus	KLF transcription factor 12(KLF12)
ENSBTAG00000046668	ANG2	Bos taurus	angiogenin 2(ANG2)
ENSBTAG00000020037	CYB5RL	Bos taurus	cytochrome b5 reductase-like(CYB5RL)
ENSBTAG00000045339	LOC112448598	Bos taurus	U7 small nuclear RNA(LOC112448598)
ENSBTAG00000021368	LOC782884	Bos taurus	dihydrodiol dehydrogenase 3(LOC782884)
ENSBTAG00000022699	CAV3	Bos taurus	caveolin 3(CAV3)
ENSBTAG00000044009	PPP1R1C	Bos taurus	protein phosphatase 1 regulatory inhibitor subunit 1C(PPP1R1C)
ENSBTAG00000020035	RCAN1	Bos taurus	regulator of calcineurin 1(RCAN1)
ENSBTAG00000047996	IFITM10	Bos taurus	interferon induced transmembrane protein 10(IFITM10)
ENSBTAG00000007068	SH3BGR	Bos taurus	SH3 domain binding glutamate rich protein(SH3BGR)
ENSBTAG00000008399	ATRIP	Bos taurus	ATR interacting protein(ATRIP)
ENSBTAG00000007067	ZC3H13	Bos taurus	zinc finger CCCH-type containing 13(ZC3H13)
ENSBTAG00000047995	LOC112443919	Bos taurus	U6 spliceosomal RNA(LOC112443919)
ENSBTAG00000021367	ANP32B	Bos taurus	acidic nuclear phosphoprotein 32 family member B(ANP32B)
ENSBTAG00000046664	TSC22D1	Bos taurus	TSC22 domain family member 1(TSC22D1)
ENSBTAG00000020036	CDCP2	Bos taurus	CUB domain containing protein 2(CDCP2)
ENSBTAG00000044003	TEX10	Bos taurus	testis expressed 10(TEX10)
ENSBTAG00000021364	TNK2	Bos taurus	tyrosine kinase non receptor 2(TNK2)
ENSBTAG00000044004	SHOC1	Bos taurus	shortage in chiasmata 1(SHOC1)
ENSBTAG00000045335	MIR2286	Bos taurus	microRNA mir-2286(MIR2286)
ENSBTAG00000047998	COL5A1	Bos taurus	collagen type V alpha 1 chain(COL5A1)
ENSBTAG00000020034	LYN	Bos taurus	LYN proto-oncogene, Src family tyrosine kinase(LYN)
ENSBTAG00000047997	PRPS2	Bos taurus	phosphoribosyl pyrophosphate synthetase 2(PRPS2)
ENSBTAG00000046666	TTC9B	Bos taurus	tetratricopeptide repeat domain 9B(TTC9B)
ENSBTAG00000021365	CDHR3	Bos taurus	cadherin related family member 3(CDHR3)
ENSBTAG00000020031	PKD2	Bos taurus	polycystin 2, transient receptor potential cation channel(PKD2)
ENSBTAG00000047992	C19H17orf107	Bos taurus	chromosome 19 C17orf107 homolog(C19H17orf107)
ENSBTAG00000020032	CEP126	Bos taurus	centrosomal protein 126(CEP126)
ENSBTAG00000047991	TAF4	Bos taurus	TATA-box binding protein associated factor 4(TAF4)
ENSBTAG00000045330	MIR2284U	Bos taurus	microRNA mir-2284u(MIR2284U)
ENSBTAG00000019043	GABPA	Bos taurus	GA binding protein transcription factor subunit alpha(GABPA)
ENSBTAG00000047994	OR5O1	Bos taurus	olfactory receptor family 5 subfamily O member 1(OR5O1)
ENSBTAG00000046663	CBY3	Bos taurus	chibby family member 3(CBY3)
ENSBTAG00000044000	PRIM1	Bos taurus	DNA primase subunit 1(PRIM1)
ENSBTAG00000019044	BAIAP2	Bos taurus	BAR/IMD domain containing adaptor protein 2(BAIAP2)
ENSBTAG00000046662	TRPM5	Bos taurus	transient receptor potential cation channel subfamily M member 5(TRPM5)
ENSBTAG00000045332	MIR2449	Bos taurus	microRNA mir-2449(MIR2449)
ENSBTAG00000019045	COMMD9	Bos taurus	COMM domain containing 9(COMMD9)
ENSBTAG00000021361	SAMD3	Bos taurus	sterile alpha motif domain containing 3(SAMD3)
ENSBTAG00000020030	FITM2	Bos taurus	fat storage inducing transmembrane protein 2(FITM2)
ENSBTAG00000044001	LPP	Bos taurus	LIM domain containing preferred translocation partner in lipoma(LPP)
ENSBTAG00000019040	PLBD2	Bos taurus	phospholipase B domain containing 2(PLBD2)
ENSBTAG00000047990	LOC783399	Bos taurus	major allergen Equ c 1-like(LOC783399)
ENSBTAG00000019041	TAFA1	Bos taurus	TAFA chemokine like family member 1(TAFA1)
ENSBTAG00000034689	ZNRF1	Bos taurus	zinc and ring finger 1(ZNRF1)
ENSBTAG00000032024	KATNA1	Bos taurus	katanin catalytic subunit A1(KATNA1)
ENSBTAG00000032026	GMPPB	Bos taurus	GDP-mannose pyrophosphorylase B(GMPPB)
ENSBTAG00000019049	AATK	Bos taurus	apoptosis associated tyrosine kinase(AATK)
ENSBTAG00000007075	LOC616942	Bos taurus	major histocompatibility complex, class I, A-like(LOC616942)
ENSBTAG00000007074	ZKSCAN8	Bos taurus	zinc finger with KRAB and SCAN domains 8(ZKSCAN8)
ENSBTAG00000007077	ABHD1	Bos taurus	abhydrolase domain containing 1(ABHD1)
ENSBTAG00000007071	RAI14	Bos taurus	retinoic acid induced 14(RAI14)
ENSBTAG00000007070	BLOC1S3	Bos taurus	biogenesis of lysosomal organelles complex 1 subunit 3(BLOC1S3)
ENSBTAG00000007073	CPB2	Bos taurus	carboxypeptidase B2(CPB2)
ENSBTAG00000045327	LOC112444391	Bos taurus	small nucleolar RNA ACA64(LOC112444391)
ENSBTAG00000020048	MAPK10	Bos taurus	mitogen-activated protein kinase 10(MAPK10)
ENSBTAG00000046659	FOXR2	Bos taurus	forkhead box R2(FOXR2)
ENSBTAG00000020049	CABP1	Bos taurus	calcium binding protein 1(CABP1)
ENSBTAG00000045329	MIR2285V	Bos taurus	microRNA mir-2285v(MIR2285V)
ENSBTAG00000046654	CERK	Bos taurus	ceramide kinase(CERK)
ENSBTAG00000007079	LCP1	Bos taurus	lymphocyte cytosolic protein 1(LCP1)
ENSBTAG00000021377	S100A14	Bos taurus	S100 calcium binding protein A14(S100A14)
ENSBTAG00000047985	TAAR5	Bos taurus	trace amine associated receptor 5(TAAR5)
ENSBTAG00000020046	CLMP	Bos taurus	CXADR like membrane protein(CLMP)
ENSBTAG00000021378	S100A13	Bos taurus	S100 calcium binding protein A13(S100A13)
ENSBTAG00000020047	MON1A	Bos taurus	MON1 homolog A, secretory trafficking associated(MON1A)
ENSBTAG00000045324	LOC112443892	Bos taurus	U6 spliceosomal RNA(LOC112443892)
ENSBTAG00000020042	KLHL28	Bos taurus	kelch like family member 28(KLHL28)
ENSBTAG00000019053	MAP9	Bos taurus	microtubule associated protein 9(MAP9)
ENSBTAG00000046650	OR6K2	Bos taurus	olfactory receptor family 6 subfamily K member 2(OR6K2)
ENSBTAG00000021373	GTF3C5	Bos taurus	general transcription factor IIIC subunit 5(GTF3C5)
ENSBTAG00000019054	EPSTI1	Bos taurus	epithelial stromal interaction 1(EPSTI1)
ENSBTAG00000020043	ARHGAP17	Bos taurus	Rho GTPase activating protein 17(ARHGAP17)
ENSBTAG00000021374	FARSA	Bos taurus	phenylalanyl-tRNA synthetase subunit alpha(FARSA)
ENSBTAG00000020040	LPCAT4	Bos taurus	lysophosphatidylcholine acyltransferase 4(LPCAT4)
ENSBTAG00000021372	SEPTIN11	Bos taurus	septin 11(SEPTIN11)
ENSBTAG00000020041	FAM13B	Bos taurus	family with sequence similarity 13 member B(FAM13B)
ENSBTAG00000046651	OR4M1	Bos taurus	olfactory receptor family 4 subfamily M member 1(OR4M1)
ENSBTAG00000021370	BLMH	Bos taurus	bleomycin hydrolase(BLMH)
ENSBTAG00000019051	NAT14	Bos taurus	N-acetyltransferase 14 (putative)(NAT14)
ENSBTAG00000019052	ANK3	Bos taurus	ankyrin 3(ANK3)
ENSBTAG00000007080	PREB	Bos taurus	prolactin regulatory element binding(PREB)
ENSBTAG00000032018	ZNF19	Bos taurus	zinc finger protein 19(ZNF19)
ENSBTAG00000034676	LOC100337355	Bos taurus	HIG1 domain family member 1A, mitochondrial(LOC100337355)
ENSBTAG00000019058	IQSEC3	Bos taurus	IQ motif and Sec7 domain ArfGEF 3(IQSEC3)
ENSBTAG00000034674	CLCNKA	Bos taurus	chloride channel Ka(CLCNKA)
ENSBTAG00000019059	ATG16L2	Bos taurus	autophagy related 16 like 2(ATG16L2)
ENSBTAG00000033345	STAR	Bos taurus	steroidogenic acute regulatory protein(STAR)
ENSBTAG00000010694	BICC1	Bos taurus	BicC family RNA binding protein 1(BICC1)
ENSBTAG00000008373	ITGA10	Bos taurus	integrin subunit alpha 10(ITGA10)
